
null
cycle: 200.0; minSize: 0.02985330215471796; maxSize: 9.950520105818805; mean: 3.4422619749571166
cycle: 201.0; minSize: 0.04257555470722204; maxSize: 9.93598992764853; mean: 3.005816712123322
cycle: 202.0; minSize: 0.0178919361474488; maxSize: 9.88548889418265; mean: 2.757953209826126
cycle: 203.0; minSize: 0.05039447657474922; maxSize: 9.664450847001113; mean: 2.9439538289198253
cycle: 204.0; minSize: 0.0628354997694755; maxSize: 9.998287077537652; mean: 3.3217274105862704
cycle: 205.0; minSize: 0.029180093153905226; maxSize: 9.884830540828059; mean: 3.3205958888237457
cycle: 206.0; minSize: 0.05628853204323546; maxSize: 9.969460864548376; mean: 3.5545834997883254
cycle: 207.0; minSize: 0.04529582128408346; maxSize: 9.716522690508754; mean: 3.1074767400706715
cycle: 208.0; minSize: 0.05040592202262139; maxSize: 9.510214206069117; mean: 3.268946298847029
cycle: 209.0; minSize: 0.0853947656674863; maxSize: 9.984957611049417; mean: 3.579276070497319
cycle: 210.0; minSize: 0.061568496663724444; maxSize: 9.938949949081964; mean: 3.4944423782554535
cycle: 211.0; minSize: 0.06605006884183588; maxSize: 9.984670360999921; mean: 3.735553368504561
cycle: 212.0; minSize: 0.0425730204136344; maxSize: 9.84358034620792; mean: 3.7985873532837147
cycle: 213.0; minSize: 0.03799593738667152; maxSize: 9.96300712639339; mean: 3.769148629665863
cycle: 214.0; minSize: 0.049027132644306935; maxSize: 9.348463284636212; mean: 3.2987488045394553
cycle: 215.0; minSize: 0.06576558588042944; maxSize: 9.932245645065388; mean: 3.8717112643119793
cycle: 216.0; minSize: 0.019338892272753427; maxSize: 9.828630704936842; mean: 3.602844795093048
cycle: 217.0; minSize: 0.06923274030005233; maxSize: 9.837651518167345; mean: 3.7245530968062956
cycle: 218.0; minSize: 0.040101321722266416; maxSize: 9.789447234827469; mean: 3.2666958549456124
cycle: 219.0; minSize: 0.038392802659719075; maxSize: 9.700910779991991; mean: 3.1524581925632424
cycle: 220.0; minSize: 0.03548277875159217; maxSize: 9.89743972300921; mean: 3.2607021309988915
cycle: 221.0; minSize: 0.01043477342568841; maxSize: 8.922554190462641; mean: 3.394188265740342
cycle: 222.0; minSize: 0.5398939561425786; maxSize: 9.77082791874297; mean: 4.204008717226033
cycle: 223.0; minSize: 0.04827578699579498; maxSize: 9.709469557045699; mean: 4.165434407831385
cycle: 224.0; minSize: 0.0448449279816235; maxSize: 9.975382249844639; mean: 4.429998081469282
cycle: 225.0; minSize: 0.01534026063685262; maxSize: 9.764968704299097; mean: 3.6010853350010543
cycle: 226.0; minSize: 0.012292707213137244; maxSize: 9.979160270834251; mean: 4.163792884917037
cycle: 227.0; minSize: 0.048021758904997845; maxSize: 9.902647064459472; mean: 4.386323006636495
cycle: 228.0; minSize: 0.044103814195388474; maxSize: 9.915223545260492; mean: 3.709053340638837
cycle: 229.0; minSize: 0.048466165514031725; maxSize: 9.923644009817997; mean: 2.3535536429976665
cycle: 230.0; minSize: 0.029581277519806062; maxSize: 9.903912037125906; mean: 2.6422697610311823
cycle: 231.0; minSize: 0.059143314487245115; maxSize: 9.263618164544216; mean: 2.659307965396137
cycle: 232.0; minSize: 0.8274186362751459; maxSize: 9.919536924990291; mean: 3.5517075260618807
cycle: 233.0; minSize: 0.03033084831625593; maxSize: 9.950746902774789; mean: 3.3992391152709085
cycle: 234.0; minSize: 0.052923741096343464; maxSize: 9.737035026638896; mean: 3.4025264721184607
cycle: 235.0; minSize: 0.018676866750870047; maxSize: 9.975340260636854; mean: 3.1246122424778036
cycle: 236.0; minSize: 0.05252914166196192; maxSize: 9.846653830270988; mean: 3.352471293559225
cycle: 237.0; minSize: 0.046534274740990846; maxSize: 9.129574557326212; mean: 3.9137395261384187
cycle: 238.0; minSize: 0.02310920362384769; maxSize: 9.86410381419539; mean: 3.4672922355842997
cycle: 239.0; minSize: 0.012629230834184935; maxSize: 9.880102732060774; mean: 3.1572305736400605
cycle: 240.0; minSize: 0.028992000632079948; maxSize: 9.310984876670855; mean: 2.9045754140811444
cycle: 241.0; minSize: 0.03949035430230642; maxSize: 9.849464497072422; mean: 3.331767362895818
cycle: 242.0; minSize: 0.05219980585391464; maxSize: 9.809918636275139; mean: 3.357671797810099
