
cycle: 127.0; nbPreys: 41; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.019999999999999605; maxSizePredators: 1.0
cycle: 128.0; nbPreys: 41; minEnergyPreys: 0.15000000000000002; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 129.0; nbPreys: 41; minEnergyPreys: 0.10000000000000002; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.96
cycle: 130.0; nbPreys: 41; minEnergyPreys: 0.05000000000000002; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.94
cycle: 131.0; nbPreys: 41; minEnergyPreys: 1.3877787807814457E-17; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.2599999999999998; maxSizePredators: 0.9199999999999999
cycle: 132.0; nbPreys: 39; minEnergyPreys: 0.04705882352941218; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.2399999999999998; maxSizePredators: 0.8999999999999999
cycle: 133.0; nbPreys: 38; minEnergyPreys: 0.29411764705882076; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.2199999999999998; maxSizePredators: 0.8799999999999999
cycle: 134.0; nbPreys: 37; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.30999999999999983; maxSizePredators: 1.0
cycle: 135.0; nbPreys: 36; minEnergyPreys: 0.22352941176470265; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.2899999999999998; maxSizePredators: 1.0
cycle: 136.0; nbPreys: 35; minEnergyPreys: 0.20392156862744726; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.2699999999999998; maxSizePredators: 1.0
cycle: 137.0; nbPreys: 34; minEnergyPreys: 0.1852941176470546; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.2499999999999998; maxSizePredators: 1.0
